QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
giftretailbanking.pnb.bank.in,103.109.225.3,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T11:01:03+00:00,ok,45.0,Moderate
gstsahay.pnb.bank.in,2001:df1:1580::225:a1,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
gstsahay.pnbuat.bank.in,2001:df1:1580::225:53,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
harbor-dr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
harbor.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
hlvkyc-vcs.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
hlvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
hrms.pnb.bank.in,103.109.224.186,443,Ssl Certificate,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-25T23:59:59+00:00,ok,45.0,Moderate
hrms.pnbuat.bank.in,103.109.225.26,443,Ssl Certificate,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-07T23:59:59+00:00,ok,45.0,Moderate
iam.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
ibanking.pnb.bank.in,103.109.227.175,443,Unknown,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
